2025-01-09 13:36:36 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12884_2024_Article_7102.txt
2025-01-09 13:36:37 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12882_2024_Article_3927.txt
2025-01-09 13:36:37 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12880_2024_Article_1542.txt
2025-01-09 13:36:38 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12888_2024_Article_6403.txt
2025-01-09 13:36:39 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12882_2024_Article_3917.txt
2025-01-09 13:36:40 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12884_2024_Article_7058.txt
2025-01-09 13:36:42 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12886_2024_Article_3837.txt
2025-01-09 13:36:42 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12886_2024_Article_3824.txt
2025-01-09 13:36:43 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12885_2024_Article_13367.txt
2025-01-09 13:36:45 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12879_2024_Article_10342.txt
2025-01-09 13:36:45 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12888_2024_Article_6407.txt
2025-01-09 13:36:47 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12888_2024_Article_6433.txt
2025-01-09 13:36:47 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12888_2024_Article_6445.txt
2025-01-09 13:36:49 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12885_2024_Article_13379.txt
2025-01-09 13:36:49 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12888_2024_Article_6458.txt
2025-01-09 13:36:51 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12885_2024_Article_13370.txt
2025-01-09 13:36:52 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12888_2024_Article_6460.txt
2025-01-09 13:36:52 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_20702.txt
2025-01-09 13:36:53 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12888_2024_Article_6450.txt
2025-01-09 13:36:54 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_20957.txt
2025-01-09 13:36:57 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_21105.txt
2025-01-09 13:36:58 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_20921.txt
2025-01-09 13:36:59 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_20982.txt
2025-01-09 13:37:00 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_20704.txt
2025-01-09 13:37:00 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_21131.txt
2025-01-09 13:37:00 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_20922.txt
2025-01-09 13:37:01 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_21189.txt
2025-01-09 13:37:01 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_21246.txt
2025-01-09 13:37:03 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_21123.txt
2025-01-09 13:37:03 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_20990.txt
2025-01-09 13:37:04 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_21248.txt
2025-01-09 13:37:06 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12890_2024_Article_3460.txt
2025-01-09 13:37:06 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_21210.txt
2025-01-09 13:37:07 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_21252.txt
2025-01-09 13:37:08 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12889_2024_Article_21234.txt
2025-01-09 13:37:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12891_2024_Article_8222.txt
2025-01-09 13:37:09 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12891_2024_Article_8241.txt
2025-01-09 13:37:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12890_2024_Article_3469.txt
2025-01-09 13:37:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12891_2024_Article_8258.txt
2025-01-09 13:37:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12031_2024_Article_2241.txt
2025-01-09 13:37:10 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12891_2024_Article_8188.txt
2025-01-09 13:37:13 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12891_2024_Article_8257.txt
2025-01-09 13:37:13 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5116.txt
2025-01-09 13:37:14 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12891_2024_Article_8252.txt
2025-01-09 13:37:14 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12891_2024_Article_8260.txt
2025-01-09 13:37:15 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5329.txt
2025-01-09 13:37:17 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12891_2024_Article_8259.txt
2025-01-09 13:37:21 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5381.txt
2025-01-09 13:37:21 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6267.txt
2025-01-09 13:37:21 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5370.txt
2025-01-09 13:37:22 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5416.txt
2025-01-09 13:37:22 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12902_2024_Article_1827.txt
2025-01-09 13:37:22 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12902_2024_Article_1793.txt
2025-01-09 13:37:22 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5294.txt
2025-01-09 13:37:22 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12894_2024_Article_1655.txt
2025-01-09 13:37:23 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5222.txt
2025-01-09 13:37:24 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6398.txt
2025-01-09 13:37:24 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5360.txt
2025-01-09 13:37:24 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12903_2024_Article_5393.txt
2025-01-09 13:37:24 - [INFO] - Saved processed text to C:\Users\ASUS\Desktop\PreProcessed\12909_2024_Article_6324.txt
